config,step,pos_error_m
fixed_P5,0,3.66357
fixed_P5,1,2.50187
fixed_P5,2,2.48918
fixed_P5,3,2.47799
fixed_P5,4,2.46834
fixed_P5,5,2.46024
fixed_P5,6,2.45371
fixed_P5,7,2.44875
fixed_P5,8,2.44538
fixed_P5,9,2.44361
fixed_P5,10,2.44343
fixed_P5,11,2.44485
fixed_P5,12,2.44787
fixed_P5,13,2.45247
fixed_P5,14,2.45866
fixed_P5,15,2.46642
fixed_P5,16,2.47573
fixed_P5,17,2.48657
fixed_P5,18,2.49894
fixed_P5,19,2.51279
fixed_P5,20,2.52812
fixed_P5,21,2.54489
fixed_P5,22,2.56307
fixed_P5,23,2.58264
fixed_P5,24,2.60356
fixed_P5,25,2.62581
fixed_P5,26,2.64934
fixed_P5,27,2.67413
fixed_P5,28,2.70013
fixed_P5,29,2.72732
