config,step,pos_error_m
shipped,0,1.37370
shipped,1,3.62288
shipped,2,1396.02051
shipped,3,1030.19531
shipped,4,4806.05615
shipped,5,1775.03125
shipped,6,72.98040
shipped,7,10000.00000
shipped,8,10000.00000
shipped,9,10000.00000
shipped,10,10000.00000
shipped,11,10000.00000
shipped,12,10000.00000
shipped,13,10000.00000
shipped,14,10000.00000
shipped,15,10000.00000
shipped,16,10000.00000
shipped,17,10000.00000
shipped,18,10000.00000
shipped,19,10000.00000
shipped,20,10000.00000
shipped,21,10000.00000
shipped,22,10000.00000
shipped,23,10000.00000
shipped,24,10000.00000
shipped,25,10000.00000
shipped,26,10000.00000
shipped,27,10000.00000
shipped,28,10000.00000
shipped,29,10000.00000
