step,t_s,pn,pe,pd,vn,ve,vd,range,az,el,doppler,innov_r,innov_az,innov_el,innov_dop,update_ok
0,0.010,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20.2144,0.0000,-1.4233,0.9353,nan,nan,nan,nan,0
1,0.020,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20.2050,0.0000,-1.4248,0.9312,nan,nan,nan,nan,0
2,0.030,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20.1958,0.0000,-1.4262,0.9271,nan,nan,nan,nan,0
3,0.040,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20.1865,0.0000,-1.4276,0.9229,nan,nan,nan,nan,0
4,0.050,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20.1773,0.0000,-1.4291,0.9187,nan,nan,nan,nan,0
5,0.060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20.1681,0.0000,-1.4305,0.9146,nan,nan,nan,nan,0
6,0.070,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20.1590,0.0000,-1.4320,0.9104,nan,nan,nan,nan,0
7,0.080,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20.1499,0.0000,-1.4334,0.9062,nan,nan,nan,nan,0
8,0.090,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20.1409,0.0000,-1.4348,0.9020,nan,nan,nan,nan,0
9,0.100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20.1319,0.0000,-1.4363,0.8978,nan,nan,nan,nan,0
10,0.110,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20.1229,0.0000,-1.4377,0.8936,nan,nan,nan,nan,0
11,0.120,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20.1140,0.0000,-1.4392,0.8894,nan,nan,nan,nan,0
12,0.130,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20.1051,0.0000,-1.4406,0.8852,nan,nan,nan,nan,0
13,0.140,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20.0963,0.0000,-1.4421,0.8810,nan,nan,nan,nan,0
14,0.150,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20.0875,0.0000,-1.4435,0.8768,nan,nan,nan,nan,0
15,0.160,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20.0788,0.0000,-1.4450,0.8726,nan,nan,nan,nan,0
16,0.170,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20.0701,0.0000,-1.4464,0.8683,nan,nan,nan,nan,0
17,0.180,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20.0614,0.0000,-1.4479,0.8641,nan,nan,nan,nan,0
18,0.190,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20.0528,0.0000,-1.4493,0.8599,nan,nan,nan,nan,0
19,0.200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20.0442,0.0000,-1.4508,0.8556,nan,nan,nan,nan,0
20,0.210,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20.0357,0.0000,-1.4522,0.8514,nan,nan,nan,nan,0
21,0.220,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20.0272,0.0000,-1.4537,0.8471,nan,nan,nan,nan,0
22,0.230,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20.0187,0.0000,-1.4551,0.8428,nan,nan,nan,nan,0
23,0.240,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20.0103,0.0000,-1.4566,0.8386,nan,nan,nan,nan,0
24,0.250,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20.0020,0.0000,-1.4581,0.8343,nan,nan,nan,nan,0
25,0.260,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.9936,0.0000,-1.4595,0.8300,nan,nan,nan,nan,0
26,0.270,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.9854,0.0000,-1.4610,0.8257,nan,nan,nan,nan,0
27,0.280,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.9771,0.0000,-1.4625,0.8214,nan,nan,nan,nan,0
28,0.290,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.9689,0.0000,-1.4639,0.8171,nan,nan,nan,nan,0
29,0.300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.9608,0.0000,-1.4654,0.8128,nan,nan,nan,nan,0
30,0.310,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.9527,0.0000,-1.4669,0.8085,nan,nan,nan,nan,0
31,0.320,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.9446,0.0000,-1.4683,0.8042,nan,nan,nan,nan,0
32,0.330,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.9366,0.0000,-1.4698,0.7999,nan,nan,nan,nan,0
33,0.340,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.9286,0.0000,-1.4713,0.7956,nan,nan,nan,nan,0
34,0.350,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.9207,0.0000,-1.4728,0.7913,nan,nan,nan,nan,0
35,0.360,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.9128,0.0000,-1.4742,0.7869,nan,nan,nan,nan,0
36,0.370,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.9049,0.0000,-1.4757,0.7826,nan,nan,nan,nan,0
37,0.380,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.8971,0.0000,-1.4772,0.7783,nan,nan,nan,nan,0
38,0.390,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.8894,0.0000,-1.4787,0.7739,nan,nan,nan,nan,0
39,0.400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.8816,0.0000,-1.4801,0.7696,nan,nan,nan,nan,0
40,0.410,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.8740,0.0000,-1.4816,0.7652,nan,nan,nan,nan,0
41,0.420,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.8663,0.0000,-1.4831,0.7608,nan,nan,nan,nan,0
42,0.430,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.8588,0.0000,-1.4846,0.7565,nan,nan,nan,nan,0
