step,t_s,pn,pe,pd,vn,ve,vd,range,az,el,doppler,innov_r,innov_az,innov_el,innov_dop,update_ok
0,0.010,-nan,-nan,-nan,-nan,-nan,-nan,20.2144,0.0000,-1.4233,0.9353,20.21337,0.00000,-1.42334,0.93535,1
1,0.020,-nan,-nan,-nan,-nan,-nan,-nan,20.2050,0.0000,-1.4248,0.9312,20.20404,-nan,nan,-nan,1
2,0.030,-nan,-nan,-nan,-nan,-nan,-nan,20.1958,0.0000,-1.4262,0.9271,20.19475,-nan,nan,-nan,1
3,0.040,-nan,-nan,-nan,-nan,-nan,-nan,20.1865,0.0000,-1.4276,0.9229,20.18550,-nan,nan,-nan,1
4,0.050,-nan,-nan,-nan,-nan,-nan,-nan,20.1773,0.0000,-1.4291,0.9187,20.17629,-nan,nan,-nan,1
5,0.060,-nan,-nan,-nan,-nan,-nan,-nan,20.1681,0.0000,-1.4305,0.9146,20.16713,-nan,nan,-nan,1
6,0.070,-nan,-nan,-nan,-nan,-nan,-nan,20.1590,0.0000,-1.4320,0.9104,20.15800,-nan,nan,-nan,1
7,0.080,-nan,-nan,-nan,-nan,-nan,-nan,20.1499,0.0000,-1.4334,0.9062,20.14892,-nan,nan,-nan,1
8,0.090,-nan,-nan,-nan,-nan,-nan,-nan,20.1409,0.0000,-1.4348,0.9020,20.13988,-nan,nan,-nan,1
9,0.100,-nan,-nan,-nan,-nan,-nan,-nan,20.1319,0.0000,-1.4363,0.8978,20.13088,-nan,nan,-nan,1
10,0.110,-nan,-nan,-nan,-nan,-nan,-nan,20.1229,0.0000,-1.4377,0.8936,20.12192,-nan,nan,-nan,1
11,0.120,-nan,-nan,-nan,-nan,-nan,-nan,20.1140,0.0000,-1.4392,0.8894,20.11300,-nan,nan,-nan,1
12,0.130,-nan,-nan,-nan,-nan,-nan,-nan,20.1051,0.0000,-1.4406,0.8852,20.10413,-nan,nan,-nan,1
13,0.140,-nan,-nan,-nan,-nan,-nan,-nan,20.0963,0.0000,-1.4421,0.8810,20.09530,-nan,nan,-nan,1
14,0.150,-nan,-nan,-nan,-nan,-nan,-nan,20.0875,0.0000,-1.4435,0.8768,20.08651,-nan,nan,-nan,1
15,0.160,-nan,-nan,-nan,-nan,-nan,-nan,20.0788,0.0000,-1.4450,0.8726,20.07776,-nan,nan,-nan,1
