step,t_s,pn,pe,pd,vn,ve,vd,err_pos_m,update_ok
0,0.010,4.1020,0.5157,19.6967,2.9695,-0.0087,0.3886,1.2792,1
1,0.020,2.3800,-5.4859,20.6631,4.3195,1.0941,2.1337,5.5553,1
2,0.030,-1316.8129,393.2373,290.8674,-288.9133,-117.1136,-747.0387,1403.4534,1
3,0.040,-1319.7020,392.0662,283.3970,-288.9133,-117.1136,-747.0387,1404.3959,0
4,0.050,-1322.5912,390.8951,275.9266,-288.9133,-117.1136,-747.0387,1405.3842,0
5,0.060,-1325.4803,389.7239,268.4562,-288.9133,-117.1136,-747.0387,1406.4181,0
6,0.070,-1328.3695,388.5528,260.9858,-288.9133,-117.1136,-747.0387,1407.4978,0
7,0.080,-1331.2587,387.3816,253.5154,-288.9133,-117.1136,-747.0387,1408.6229,0
8,0.090,-1334.1478,386.2105,246.0450,-288.9133,-117.1136,-747.0387,1409.7935,0
9,0.100,-1337.0370,385.0393,238.5747,-288.9133,-117.1136,-747.0387,1411.0093,0
10,0.110,-1339.9261,383.8682,231.1043,-288.9133,-117.1136,-747.0387,1412.2704,0
11,0.120,-1342.8153,382.6971,223.6339,-288.9133,-117.1136,-747.0387,1413.5764,0
12,0.130,-1345.7045,381.5259,216.1635,-288.9133,-117.1136,-747.0387,1414.9274,0
13,0.140,-1348.5936,380.3548,208.6931,-288.9133,-117.1136,-747.0387,1416.3231,0
14,0.150,-1351.4828,379.1836,201.2227,-288.9133,-117.1136,-747.0387,1417.7637,0
15,0.160,-1354.3719,378.0125,193.7524,-288.9133,-117.1136,-747.0387,1419.2488,0
16,0.170,-1357.2611,376.8413,186.2820,-288.9133,-117.1136,-747.0387,1420.7781,0
17,0.180,-1360.1503,375.6702,178.8116,-288.9133,-117.1136,-747.0387,1422.3518,0
18,0.190,-1363.0394,374.4991,171.3412,-288.9133,-117.1136,-747.0387,1423.9695,0
19,0.200,-1365.9286,373.3279,163.8708,-288.9133,-117.1136,-747.0387,1425.6313,0
20,0.210,-1368.8177,372.1568,156.4005,-288.9133,-117.1136,-747.0387,1427.3368,0
21,0.220,-1371.7069,370.9856,148.9301,-288.9133,-117.1136,-747.0387,1429.0859,0
22,0.230,-1374.5961,369.8145,141.4597,-288.9133,-117.1136,-747.0387,1430.8787,0
23,0.240,-1377.4852,368.6433,133.9893,-288.9133,-117.1136,-747.0387,1432.7145,0
24,0.250,-1380.3744,367.4722,126.5189,-288.9133,-117.1136,-747.0387,1434.5936,0
25,0.260,-1383.2635,366.3011,119.0485,-288.9133,-117.1136,-747.0387,1436.5157,0
26,0.270,-1386.1527,365.1299,111.5781,-288.9133,-117.1136,-747.0387,1438.4806,0
27,0.280,-1389.0419,363.9588,104.1077,-288.9133,-117.1136,-747.0387,1440.4883,0
28,0.290,-1391.9310,362.7876,96.6374,-288.9133,-117.1136,-747.0387,1442.5382,0
29,0.300,-1394.8202,361.6165,89.1670,-288.9133,-117.1136,-747.0387,1444.6305,0
30,0.310,-1397.7094,360.4453,81.6966,-288.9133,-117.1136,-747.0387,1446.7649,0
31,0.320,-1400.5985,359.2742,74.2262,-288.9133,-117.1136,-747.0387,1448.9413,0
32,0.330,-1403.4877,358.1031,66.7558,-288.9133,-117.1136,-747.0387,1451.1592,0
33,0.340,-1406.3768,356.9319,59.2854,-288.9133,-117.1136,-747.0387,1453.4187,0
34,0.350,-1409.2660,355.7608,51.8150,-288.9133,-117.1136,-747.0387,1455.7195,0
35,0.360,-1412.1552,354.5896,44.3446,-288.9133,-117.1136,-747.0387,1458.0618,0
36,0.370,-1415.0443,353.4185,36.8742,-288.9133,-117.1136,-747.0387,1460.4446,0
37,0.380,-1417.9335,352.2473,29.4039,-288.9133,-117.1136,-747.0387,1462.8683,0
38,0.390,-1420.8226,351.0762,21.9335,-288.9133,-117.1136,-747.0387,1465.3325,0
39,0.400,-1423.7118,349.9051,14.4631,-288.9133,-117.1136,-747.0387,1467.8372,0
40,0.410,-1426.6010,348.7339,6.9927,-288.9133,-117.1136,-747.0387,1470.3820,0
41,0.420,-1429.4901,347.5628,-0.4777,-288.9133,-117.1136,-747.0387,1472.9664,0
42,0.430,-1432.3793,346.3916,-7.9481,-288.9133,-117.1136,-747.0387,1475.5907,0
43,0.440,-1435.2684,345.2205,-15.4185,-288.9133,-117.1136,-747.0387,1478.2548,0
44,0.450,-1438.1576,344.0493,-22.8888,-288.9133,-117.1136,-747.0387,1480.9579,0
45,0.460,-1441.0468,342.8782,-30.3592,-288.9133,-117.1136,-747.0387,1483.7001,0
46,0.470,-1443.9359,341.7071,-37.8296,-288.9133,-117.1136,-747.0387,1486.4811,0
47,0.480,-1446.8251,340.5359,-45.3000,-288.9133,-117.1136,-747.0387,1489.3009,0
48,0.490,-1449.7142,339.3648,-52.7704,-288.9133,-117.1136,-747.0387,1492.1591,0
49,0.500,-1452.6034,338.1936,-60.2408,-288.9133,-117.1136,-747.0387,1495.0553,0
50,0.510,-1455.4926,337.0225,-67.7112,-288.9133,-117.1136,-747.0387,1497.9895,0
51,0.520,-1458.3817,335.8513,-75.1816,-288.9133,-117.1136,-747.0387,1500.9615,0
52,0.530,-1461.2709,334.6802,-82.6520,-288.9133,-117.1136,-747.0387,1503.9712,0
53,0.540,-1464.1600,333.5091,-90.1223,-288.9133,-117.1136,-747.0387,1507.0179,0
