step,t_s,pn,pe,pd,vn,ve,vd,err_pos_m,update_ok
0,0.010,4.2466,0.4506,19.7621,3.3010,0.0726,1.6944,1.3737,1
1,0.020,4.8199,-2.0778,22.2866,1.9233,0.0307,-2.7317,3.6229,1
2,0.030,47.6623,1391.3715,124.6565,704.4000,581.7932,3358.7371,1396.0205,1
3,0.040,-387.4050,468.6820,-810.2714,375.4881,-517.4637,1713.5795,1030.1953,1
4,0.050,243.1325,4755.8833,669.6015,2328.4919,2351.7627,11285.6787,4806.0562,1
5,0.060,741.1847,330.3188,1599.9835,-117.8765,1803.7334,-345.5010,1775.0312,1
6,0.070,-4.3784,69.9974,0.5972,29.1370,210.4752,168.9916,72.9804,1
7,0.080,-379424.3438,264116.1562,-775347.8125,272170.2500,-648000.5625,1265614.2500,902727.7500,1
8,0.090,-376702.6562,257636.1562,-762691.6875,272170.2500,-648000.5625,1265614.2500,888826.3750,0
9,0.100,-373980.9688,251156.1562,-750035.5625,272170.2500,-648000.5625,1265614.2500,874943.6875,0
10,0.110,-371259.2812,244676.1562,-737379.4375,272170.2500,-648000.5625,1265614.2500,861080.5625,0
11,0.120,-368537.5938,238196.1562,-724723.3125,272170.2500,-648000.5625,1265614.2500,847237.9375,0
12,0.130,-365815.9062,231716.1562,-712067.1875,272170.2500,-648000.5625,1265614.2500,833416.8750,0
13,0.140,-363094.2188,225236.1562,-699411.0625,272170.2500,-648000.5625,1265614.2500,819618.4375,0
14,0.150,-360372.5312,218756.1562,-686754.9375,272170.2500,-648000.5625,1265614.2500,805843.7500,0
15,0.160,-357650.8438,212276.1562,-674098.8125,272170.2500,-648000.5625,1265614.2500,792094.1875,0
16,0.170,-354929.1562,205796.1562,-661442.6875,272170.2500,-648000.5625,1265614.2500,778370.9375,0
17,0.180,-352207.4688,199316.1562,-648786.5625,272170.2500,-648000.5625,1265614.2500,764675.5000,0
18,0.190,-349485.7812,192836.1562,-636130.4375,272170.2500,-648000.5625,1265614.2500,751009.3125,0
19,0.200,-346764.0938,186356.1562,-623474.3125,272170.2500,-648000.5625,1265614.2500,737374.1250,0
20,0.210,-344042.4062,179876.1562,-610818.1875,272170.2500,-648000.5625,1265614.2500,723771.6250,0
21,0.220,-341320.7188,173396.1562,-598162.0625,272170.2500,-648000.5625,1265614.2500,710203.6875,0
22,0.230,-338599.0312,166916.1562,-585505.9375,272170.2500,-648000.5625,1265614.2500,696672.3125,0
23,0.240,-335877.3438,160436.1562,-572849.8125,272170.2500,-648000.5625,1265614.2500,683179.7500,0
24,0.250,-333155.6562,153956.1562,-560193.6875,272170.2500,-648000.5625,1265614.2500,669728.2500,0
25,0.260,-330433.9688,147476.1562,-547537.5625,272170.2500,-648000.5625,1265614.2500,656320.3750,0
26,0.270,-327712.2812,140996.1562,-534881.4375,272170.2500,-648000.5625,1265614.2500,642958.8750,0
27,0.280,-324990.5938,134516.1562,-522225.2812,272170.2500,-648000.5625,1265614.2500,629646.6250,0
28,0.290,-322268.9062,128036.1484,-509569.1250,272170.2500,-648000.5625,1265614.2500,616386.8750,0
29,0.300,-319547.2188,121556.1406,-496912.9688,272170.2500,-648000.5625,1265614.2500,603183.1250,0
30,0.310,-316825.5312,115076.1328,-484256.8125,272170.2500,-648000.5625,1265614.2500,590039.0625,0
31,0.320,-314103.8438,108596.1250,-471600.6562,272170.2500,-648000.5625,1265614.2500,576958.8750,0
32,0.330,-311382.1562,102116.1172,-458944.5000,272170.2500,-648000.5625,1265614.2500,563946.8750,0
33,0.340,-308660.4688,95636.1094,-446288.3438,272170.2500,-648000.5625,1265614.2500,551007.9375,0
34,0.350,-305938.7812,89156.1016,-433632.1875,272170.2500,-648000.5625,1265614.2500,538147.3750,0
35,0.360,-303217.0938,82676.0938,-420976.0312,272170.2500,-648000.5625,1265614.2500,525370.9375,0
36,0.370,-300495.4062,76196.0859,-408319.8750,272170.2500,-648000.5625,1265614.2500,512684.8438,0
37,0.380,-297773.7188,69716.0781,-395663.7188,272170.2500,-648000.5625,1265614.2500,500096.0938,0
38,0.390,-295052.0312,63236.0742,-383007.5625,272170.2500,-648000.5625,1265614.2500,487612.0938,0
39,0.400,-292330.3438,56756.0703,-370351.4062,272170.2500,-648000.5625,1265614.2500,475241.1875,0
